Model_ID,Car_Model
1,1.4 E
2,Diesel
3,1.6
4,Xing GL Plus
5,XZ Plus
6,1.5 Revotorq
7,1.4 CRDi
8,R W10
9,Brezza VDi
10,Dzire ZXI
11,SLX 2WD
12,E Diesel
13,Active 2.0 TDI
14,1.5 TDI Ambition
15,VDi Plus
16,Elegance 1.9 TDI
17,2.0L TDI
18,E
19,Dzire
20,R LXI
21,300
22,S11
23,S
24,N Z8 Diesel
25,1.6 CRDi
26,1.3 AMT
27,Corporate Edition
28,i VTEC
29,1.3
30,1.4
31,Diesel TRD
32,1.0 MPI
33,Liva
34,XZ Plus Dark Edition
35,SX Opt
36,1.0 T
37,Vitara Zeta Plus Hybrid
38,Anniversary
39,2nd Gen VX
40,i10 1.2 CRDi
41,Asta Option
42,EX
43,1.5 Diesel Titanium
44,Brezza
45,i DTEC
46,VX
47,Brezza ZXI Plus AT Dual
48,ROXX AX7L 4WD Diesel
49,Elegance 2.0 TDI CR
50,N Z8L
51,1.4 SXi TDCi
52,Cross DDiS 200
53,2.2 Titanium AT
54,1.2 Petrol
55,2.5
56,1.5 DV5 MT
57,Signature (O) Diesel AT
58,Liva 1.2
59,LX 4WD Hard Top Diesel
60,Dzire VXI
61,3.0
62,Vitara
63,Adventure Edition
64,cruiser
65,HTK
66,1.5 Petrol Titanium
67,Executive
68,S Opt
69,Era
70,Hybrid Sharp
71,100 mFALCON G80 K6
72,S2 7
73,5 Door
74,1.2
75,i10 Nios
76,SHVS
77,XT Plus
78,Sportz
79,i DTec
80,i10 Magna
81,SHVS ZDI
82,Vxi
83,R VXI
84,800
85,Exclusive E
86,i10 Nios Sportz
87,i10
88,W11
89,VDI
90,VTVT 1.6 SX
91,RXZ
92,Petrol Highline
93,Sportz Option
94,R Stingray LXI
95,Crysta 2.4 VX MT
96,Active XL
97,i10 1.2 Kappa
98,300 mHAWK100
99,V
100,SX
101,1.5 S
102,XM CNG
103,1.5 E
104,i10 1.2 Kappa Magna CNG
105,K10
106,Magna Plus
107,HTX Diesel
108,ZXI
109,R
110,Savvy
111,1.0 RXT
112,1.6 SX
113,800 VXI
114,4x2
115,B6 Opt
116,Alpha
117,Plus Sharp
118,1.6 SX Automatic
119,1.0
120,Xing GLS
121,2.8 2WD
122,VDi Option
123,VXI
124,1.05 Revotorq
125,2.0 Longitude Option
126,ZXI Optional MT
127,S5
128,110PS Diesel
129,LX Convert Top
130,2.5 G (Diesel) 7 Seater BS
131,Crysta 2.4 ZX
132,i-DTEC
133,1.5 TDI Highline
134,Altis 1.4
135,HTK Plus
136,W6 AMT Diesel Sunroof NT
137,Brezza ZXI
138,1.0 TSI Topline AT
139,Xing
140,Magna
141,Zxi
142,M4
143,DICOR 2.2 EX 4x2 BS
144,Ambition 2.0 TDI CR
145,2.0
146,4x4
147,Prestige 7-Seater Diesel
148,Discovery HSE 3.0
149,Liva 1.4
150,VXI Plus
151,LX 4WD Hard Top AT
152,Cross Alpha DDiS 200
153,R LXI BS
154,Cross Country D4 AWD
155,1.5 Revotorq XZ
156,AX5 Diesel
157,SX Diesel
158,XZ
159,S plus Knight Diesel
160,Smart
161,Quadrajet 1.3
162,Plus T
163,R ZXI Plus
164,Plus Sharp Pro
165,CRDi 1.6
166,XZA AT
167,1.2 VX i
168,Sigma
169,800 LX
170,Signature Diesel AT
171,R AMT
172,Trend Diesel
173,Sportz Option 1.4
174,RXT
175,AX7 Diesel AT
176,Petrol
177,EX Diesel
178,Gravity
179,LXI
180,i10 Nios AMT
181,1.2 Sigma
182,Revotron 1.2
183,Pik Up FB
184,1.6 CRDi SX
185,HTX
186,Accomplished
187,K10 2010-2014
188,2nd Gen VX CVT
189,Dzire 1.2 Vxi
190,1.5 TDI Style
191,Cross
192,SX Opt Diesel
193,2.0L TDI Highline
194,Crysta 2.4 ZX 7
195,i-DTEC VX
196,Prestige
197,Inscription
198,GLS
199,1.1
200,LX (TDI) BS
201,Vdi
202,RXE
203,i-VTEC
204,1.1 CRDi
205,SX Plus Turbo DCT
206,W8
207,R VXI BS
208,S6 Plus 7
209,EV Accomplished
210,W4
211,i-VTEC CVT
212,i-VTEC V
213,Series 530d M
214,Crysta 2.8 ZX AT
215,1.5 TDI AT Style
216,2.2 Trend AT
217,Crysta 2.4 GX MT
218,XV Premium 110
219,XT
220,ZXi
221,Style 2.0 TDI
222,35 TDI Premium
223,Series 730Ld M
224,800 CNG
225,K10 Dream
226,EV
227,E2
228,Crysta 2.4 GX
229,Revotron 1.2T
230,AX3 5Str
231,X AMT VXI Option
232,W8 Option AMT
233,800 LXI
234,i10 1.2 CRDi Sportz Dual
235,100 mFALCON D75 K6
236,L &
237,1.2 Kappa
238,1.4 E Plus
239,VXI CNG Limited
240,Exclusive Edition
241,RXL
242,1.5 TDCi Ambiente
243,R CNG
244,1.2 MPI
245,2.8 2WD MT
246,S Diesel
247,Super Diesel MT
248,1.2 TDI
249,S Plus
250,Quadrajet
251,VX CVT Apex
252,Kuro
253,1.2 Revotron
254,Neo N10
255,Creative Plus
256,1.6 CRDi AT SX
257,Climber 1.0 MT
258,85PS Diesel
259,1.4 CRDi Anniversary
260,1.2P Titanium
261,Diesel Comfortline
262,Sportz 1.4
263,Aura (ABS) Quadrajet BS
264,Cross Zeta DDiS 200
265,S 9
266,Series 118d Sport
267,110PS RxZ 7
268,RS
269,AMT
270,1.5 TDI
271,Adventure Rhythm
272,W6 Diesel Sunroof NT
273,EV XZ
274,IPL II 1.2 Diesel
275,Asta 1.4
276,Diesel Highline
277,LS B3 - 10 seats
278,Crysta 2.4 VX MT 8S
279,CRDi 1.6 AT SX
280,2.0 Limited
281,Altis 1.8
282,L 3.0 TDI
283,200 CDI
284,35
285,1.2 E i
286,Active 1.4
287,Series 330i GT Luxury
288,R ZXI
289,K10 VXi Plus
290,D Lite
291,Delta
292,XV
293,VXi
294,1.2 CRDi SX
295,Dzire AMT
296,1.2 CRDi
297,Zeta
298,1.6 VTVT E
299,XM plus
300,W6
301,XT CNG
302,400d 4MATIC
303,Savvy Pro
304,Luxury Plus DCT
305,Sharp
306,EV Adventure
307,HTX Plus AT
308,X-Line Diesel
309,GTX Plus Diesel
310,Smart CVT
311,1.5 TSI Style
312,Accomplished AMT
313,Premium Plus
314,SX CNG 4
315,Sharp AT
316,GTX Plus
317,Vitara Alpha Plus Hybrid
318,X-Line Diesel AT 6
319,HTX IVT
320,Accomplished Plus Dark
321,Luxury Plus Diesel AT 6 STR
322,HTX Turbo iMT
323,VXI AMT
324,N-Line N8 DCT
325,1.6 VTVT
326,EV XZ Plus Dark
327,Savvy 4x4
328,Luxury Plus Turbo DCT 6 STR
329,XTA Plus AT
330,XL
331,Sharp CVT
332,Dzire LXI
333,R LX
334,100 NXT G80
335,EV XT
336,1.5 TDCi
337,AMT VXI
338,TCDi LT 7
339,CNG 5 Seater
340,VXI with
341,450
342,1.0 TSI Style AT
343,300d
344,Countryman Cooper S JCW Inspired
345,Range Rover Sport 2.0 Petrol
346,Brezza ZDi
347,AX5 AT
348,DI NON AC BS III
349,xDrive40i M
350,Range Rover Velar R-Dynamic S Petrol
351,S 350
352,Hatchback LS
353,U-VA 1.2 LS
354,1.6 VTVT AT
355,S 500
356,W7
357,C
358,3.2 Titanium AT
359,1.1 CRDi SX
360,1.5 Diesel Trend
361,XZ Plus S
362,Series GT 630i M
363,sDrive20d
364,Shine Pro
365,V Petrol
366,Dzire Tour
367,Dzire AMT VXI BS
368,1.5 Ti VCT MT Ambiente
369,Lxi
370,1.4 Limited Plus
371,XZA Plus
372,1.4 CRDi S
373,S AMT
