Brand_ID,Model_ID,Segment_ID,Vehicle_Name,Year_of_Manufacture,Vehicle_Age,Insurance,Fuel_Type,Seats_Capacity,Kms_Driven,RTO_Location,Ownership,Engine_Displacement,Transmission,Power_BHP,Drive_Type,Mileage_By_Fuel_Type,New_Vehicle_Price_Lakh,Vehicle_Price_Lakh,Depreciation_Percentage,Other_Features,Value_For_Money_Score
1,1705,1,Etios,2013,12,Expired,Diesel,5,150000,Sri Ganganagar,Fourth Owner,1364.0,Manual,,Unknown,,8.05,2.6,67.7,No_Features,4.4
1,1705,2,Glanza,2024,1,Expired,Petrol,5,10000,dasuya,First Owner,1197.0,Manual,,Unknown,,11.28,9.4,16.67,No_Features,10.0
2,1,3,Creta,2017,8,Comprehensive,Diesel,5,75000,Gurgaon,First Owner,1396.0,Manual,,Unknown,,11.86,6.25,47.3,No_Features,6.8
3,2,1,Vento,2011,14,Expired,Diesel,5,160000,jalalabad,Third Owner,1598.0,Manual,103.6,Unknown,20.54,10.05,1.4,86.07,Parking Sensors,4.2
2,3,1,Verna,2014,11,Expired,Diesel,5,120000,Meerut,First Owner,1582.0,Manual,126.3,Unknown,22.32,11.87,4.0,66.3,Automatic Climate Control | Parking Sensors,5.0
2,4,2,Santro,2012,13,Expired,LPG,5,147000,malout,Third Owner,1086.0,Manual,62.1,Unknown,13.45,4.71,1.0,78.77,Keyless Entry | Central Locking | Air Conditioner,4.6
2,1705,2,i20,2023,2,Comprehensive,Petrol,5,9400,HR98,First Owner,1197.0,Manual,,Unknown,,8.45,6.85,18.93,No_Features,10.0
4,5,3,Harrier,2021,4,Expired,Diesel,5,50000,Jaipur,First Owner,1956.0,Manual,167.67,Unknown,16.35,25.54,15.0,41.27,Powered Front Seats | Ventilated Seats | Height Adjustable Driver Seat | Air Purifier | Automatic Climate Control | Drive Modes | Cruise Control,7.8
4,6,3,Nexon,2019,6,Comprehensive,Diesel,5,71000,Gurgaon,Second Owner,1497.0,Manual,108.5,FWD,21.5,10.39,5.1,50.91,Parking Sensors,7.2
2,7,3,Creta,2018,7,Comprehensive,Diesel,5,81000,Sirsa,Second Owner,1396.0,Manual,88.7,FWD,21.38,13.01,8.1,37.74,Rear AC Vents,7.4
5,1705,3,Bolero,2014,11,Expired,Diesel,7,196472,Sri Ganganagar,Third Owner,2523.0,Manual,62.1,RWD,15.96,11.03,5.15,53.31,No_Features,5.0
5,8,3,XUV500,2017,8,Comprehensive,Diesel,7,110000,Chandigarh,First Owner,2179.0,Manual,140.0,FWD,16.0,19.82,6.9,65.19,Powered Front Seats | Height Adjustable Driver Seat | Air Purifier | Automatic Climate Control | Cruise Control,5.6
6,9,3,Vitara,2018,7,Third Party,Diesel,5,77000,Gurgaon,Second Owner,1248.0,Automatic,88.5,FWD,24.3,9.99,6.25,37.44,Air Purifier | Parking Sensors,7.4
6,10,2,Swift,2020,5,Comprehensive,Petrol,5,65000,HR98,First Owner,1197.0,Manual,81.8,Unknown,21.21,8.47,6.55,22.67,Engine Start/Stop Button | Automatic Climate Control | Rear AC Vents | Parking Sensors,8.2
5,11,3,Bolero,2014,11,Expired,Diesel,7,175847,Bikaner,First Owner,2523.0,Manual,62.1,FWD,15.96,9.95,5.4,45.73,No_Features,5.4
2,12,3,Creta,2021,4,Comprehensive,Diesel,5,79000,Hanumangarh,First Owner,1493.0,Manual,113.98,Unknown,,14.28,11.0,22.97,Rear AC Vents | Parking Sensors,8.2
7,13,1,Octavia,2014,11,Expired,Diesel,5,90463,Jaipur,Second Owner,1968.0,Manual,141.0,Unknown,20.6,18.36,4.8,73.86,Height Adjustable Driver Seat | Air Purifier,5.2
7,14,1,Rapid,2017,8,Expired,Diesel,5,92500,Kaithal,First Owner,1498.0,Manual,108.6,Unknown,21.13,11.28,4.5,60.11,Automatic Climate Control | Rear AC Vents | Parking Sensors,6.0
6,15,1,Ciaz,2016,9,Comprehensive,Diesel,5,80000,palwal,Second Owner,1248.0,Manual,88.5,Unknown,28.09,10.91,4.5,58.75,Automatic Climate Control | Rear AC Vents | Parking Sensors,6.6
7,16,1,Laura,2011,14,Third Party,Diesel,5,90000,Gurgaon,Third Owner,1896.0,Manual,105.0,Unknown,17.0,17.47,3.25,81.4,Leather Seats | Automatic Climate Control | Air Purifier,5.0
3,17,1,Jetta,2014,11,Comprehensive,Diesel,5,74000,Gurgaon,First Owner,1968.0,Manual,138.03,Unknown,19.33,19.73,4.95,74.91,Leather Seats | Height Adjustable Driver Seat | Automatic Climate Control | Air Purifier,5.4
8,18,4,Mobilio,2014,11,Third Party,Diesel,7,100000,Fatehabad,Second Owner,1498.0,Manual,98.6,Unknown,24.2,10.16,3.5,65.55,Tumble Fold Seats,5.2
6,19,2,Swift,2011,14,Comprehensive,Diesel,5,70808,New Delhi,Second Owner,1248.0,Manual,73.9,Unknown,19.3,7.79,2.65,65.98,No_Features,5.2
6,1705,2,Swift,2012,13,Third Party,Petrol,5,84476,New Delhi,First Owner,1197.0,Manual,85.8,Unknown,18.6,5.77,2.7,53.21,Keyless Entry | Central Locking | Air Conditioner | Digital Odometer,6.2
6,19,2,Swift,2015,10,Comprehensive,Diesel,5,80000,Rohtak,First Owner,1248.0,Manual,74.0,Unknown,26.59,8.05,4.0,50.31,No_Features,6.8
6,20,2,Wagon,2010,15,Expired,CNG,5,90000,New Delhi,Second Owner,998.0,Manual,58.2,Unknown,26.2,4.95,1.2,75.76,Central Locking | Air Conditioner,5.2
5,21,3,TUV,2016,9,Comprehensive,Diesel,7,70000,Faridabad,First Owner,1493.0,Manual,100.0,RWD,18.49,11.48,4.25,62.98,Parking Sensors,6.0
5,22,3,Scorpio,2019,6,Comprehensive,Diesel,7,47000,Faridabad,First Owner,2179.0,Manual,140.0,RWD,16.36,18.53,14.0,24.45,Height Adjustable Driver Seat | Air Purifier | Automatic Climate Control | Cruise Control,8.6
6,1705,2,Swift,2012,13,Comprehensive,Petrol,5,70000,New Delhi,First Owner,1197.0,Manual,85.8,Unknown,18.6,6.53,3.15,51.76,Keyless Entry | Central Locking | Air Conditioner | Digital Odometer | Steering Mounted Controls,6.2
2,23,3,Venue,2020,5,Comprehensive,Petrol,5,34000,Gurgaon,First Owner,998.0,Manual,118.35,FWD,18.27,10.15,7.1,30.05,Rear AC Vents | Parking Sensors | Cooled Glovebox,8.6
5,24,3,Scorpio,2024,1,Comprehensive,Diesel,7,23000,Jaipur,First Owner,2198.0,Automatic,,Unknown,,25.43,20.5,19.39,No_Features,10.0
9,2,2,Figo,2014,11,Third Party,Diesel,5,100000,Sirsa,Second Owner,1399.0,Manual,68.05,Unknown,20.0,6.6,2.0,69.7,Keyless Entry | Central Locking | Air Conditioner | Digital Odometer | Bluetooth Connectivity | Steering Mounted Controls,5.2
2,25,3,Creta,2016,9,Expired,Diesel,5,95000,Sri Ganganagar,Second Owner,1582.0,Manual,126.2,FWD,19.67,15.2,7.5,50.66,Height Adjustable Driver Seat | Air Purifier | Automatic Climate Control,6.6
