vehical_name,Registration Year ,Insurance ,Fuel Type ,Seats ,Kms Driven ,RTO ,Ownership ,Engine Displacement ,Transmission ,Year of Manufacture ,Engine ,Power ,Transmission ,Drive Type ,Mileage ,Fuel ,new_vehical_price,vehical_price,other_features
2013 Toyota Etios GD,2013,-,Diesel,5 Seats,"1,50,000 Kms",Sri Ganganagar,Fourth Owner,1364 cc,Manual,2013,,,Manual,,,,New Car Price ₹8.05 Lakh,₹2.60 Lakh ,[]
2024 Toyota Glanza V,2024,-,Petrol,5 Seats,"10,000 Kms",dasuya,First Owner,1197 cc,Manual,2024,,,Manual,,,,New Car Price ₹11.28 Lakh,₹9.40 Lakh ,[]
2017 Hyundai Creta 1.4 E Plus,Jul 2017,Comprehensive,Diesel,5 Seats,"75,000 Kms",Gurgaon,First Owner,1396 cc,Manual,2017,,,Manual,,,,New Car Price ₹11.86 Lakh,₹6.25 Lakh Make Your Offer,[]
2011 Volkswagen Vento Diesel Trendline,2011,-,Diesel,5 Seats,"1,60,000 Kms",jalalabad,Third Owner,1598 cc,Manual,2011,1598 cc,103.6 bhp,Manual,,20.54 kmpl,Diesel,New Car Price ₹10.05 Lakh,₹1.40 Lakh ,['Parking Sensors']
2014 Hyundai Verna 1.6 CRDI,2014,-,Diesel,5 Seats,"1,20,000 Kms",Meerut,First Owner,1582 cc,Manual,2014,1582 cc,126.3 bhp,Manual,,22.32 kmpl,Diesel,New Car Price ₹11.87 Lakh,₹4 Lakh ,"['Automatic Climate Control', 'Parking Sensors']"
2012 Hyundai Santro Xing GL Plus LPG,2012,-,LPG,5 Seats,"1,47,000 Kms",malout,Third Owner,1086 cc,Manual,2012,1086 cc,62.1 bhp,Manual,,13.45 km/kg,LPG,New Car Price ₹4.71 Lakh,₹1 Lakh ,"['Keyless Entry', 'Central Locking', 'Air Conditioner']"
2023 Hyundai i20 Magna,May 2023,Comprehensive,Petrol,5 Seats,"9,400 Kms",HR98,First Owner,1197 cc,Manual,2023,,,Manual,,,,New Car Price ₹8.45 Lakh,₹6.85 Lakh Make Your Offer,[]
2021 Tata Harrier XZ Plus BSVI,Jul 2021,-,Diesel,5 Seats,"50,000 Kms",Jaipur,First Owner,1956 cc,Manual,2021,1956 cc,167.67 bhp,Manual,,16.35 kmpl,Diesel,New Car Price ₹25.54 Lakh,₹15 Lakh Make Your Offer,"['Powered Front Seats', 'Ventilated Seats', 'Height Adjustable Driver Seat', 'Air Purifier', 'Automatic Climate Control', 'Drive Modes', 'Cruise Control']"
2019 Tata Nexon 1.5 Revotorq XM,Jul 2019,Comprehensive,Diesel,5 Seats,"71,000 Kms",Gurgaon,Second Owner,1497 cc,Manual,2019,1497 cc,108.5 bhp,Manual,FWD,21.5 kmpl,Diesel,New Car Price ₹10.39 Lakh,₹5.10 Lakh Make Your Offer,['Parking Sensors']
2018 Hyundai Creta 1.4 CRDi S,Jan 2019,Comprehensive,Diesel,5 Seats,"81,000 Kms",Sirsa,Second Owner,1396 cc,Manual,2018,1396 cc,88.7 bhp,Manual,FWD,21.38 kmpl,,New Car Price ₹13.01 Lakh,₹8.10 Lakh Make Your Offer,['Rear AC Vents']
